1;0;2812.00;22.45;1377.00;0.00;0.88
2;0;255.00;9.70;1130.00;0.00;0.52
3;0;1225.00;22.25;221.00;0.00;0.44
4;0;2529.00;11.85;1386.00;0.00;0.84
5;0;2614.00;11.15;2383.00;0.00;0.76
6;0;1881.00;14.55;1227.00;0.00;0.48
7;0;1587.00;25.32;944.00;0.00;0.64
8;0;2844.00;12.30;494.00;0.00;0.88
9;0;1894.00;23.90;53.00;0.00;0.56
10;0;2079.00;10.15;2171.00;0.00;0.44
11;0;1494.00;18.50;436.00;0.00;0.68
12;0;2793.00;9.70;1037.00;0.00;0.48
13;0;3196.00;10.05;858.00;0.00;0.48
14;0;2788.00;14.85;1660.00;0.00;0.92
15;0;2074.00;15.95;1238.00;0.00;0.52
16;0;2508.00;11.15;2423.00;0.00;0.72
17;0;3023.00;9.82;1536.00;0.00;0.92
18;0;1657.00;12.70;2475.00;0.00;0.88
19;0;3114.00;13.87;1369.00;0.00;1.00
20;0;513.00;18.52;995.00;0.00;0.72
21;0;291.00;9.95;2500.00;0.00;0.36
22;0;1036.00;23.60;459.00;0.00;0.76
23;0;2695.00;9.70;2373.00;0.00;0.68
24;0;1951.00;11.75;656.00;0.00;0.44
25;0;1803.00;17.10;1190.00;0.00;0.52
26;0;2362.00;11.40;342.00;0.00;0.84
27;0;895.00;12.02;2505.00;0.00;0.44
28;0;2236.00;10.62;1452.00;0.00;0.64
29;0;28.00;15.27;949.00;0.00;0.56
30;0;1003.00;19.72;2220.00;0.00;0.76
31;0;2528.00;10.65;1993.00;0.00;0.40
32;0;195.00;13.50;594.00;0.00;0.64
33;0;1881.00;13.05;1743.00;0.00;0.84
34;0;4573.00;9.80;2129.00;0.00;0.76
35;0;901.00;20.35;27.00;0.00;0.64
36;0;1442.00;9.70;1567.00;0.00;0.40
37;0;2984.00;10.40;613.00;0.00;1.00
38;0;2547.00;16.87;636.00;0.00;0.28
39;0;2653.00;14.90;383.00;0.00;0.48
40;0;888.00;13.27;719.00;0.00;0.72
41;0;3358.00;10.60;758.00;0.00;0.40
42;0;2264.00;10.60;175.00;0.00;1.04
43;0;1390.00;12.10;1169.00;0.00;0.64
44;0;1915.00;9.87;1539.00;0.00;0.44
45;0;2613.00;11.15;1349.00;0.00;0.60
46;0;2930.00;10.80;839.00;0.00;0.48
47;0;939.00;9.70;1979.00;0.00;0.40
48;0;2596.00;13.85;1738.00;0.00;0.76
49;0;354.00;9.77;2551.00;0.00;0.40
50;0;3022.00;15.97;416.00;0.00;0.80
51;0;4006.00;10.10;2382.00;0.00;0.84
52;0;270.00;12.35;803.00;0.00;0.60
53;0;2422.00;10.10;2645.00;0.00;0.72
54;0;789.00;11.40;2752.00;0.00;0.48
55;0;3289.00;10.97;556.00;0.00;0.32
56;0;2206.00;13.82;1061.00;0.00;0.44
57;0;4097.00;9.70;2224.00;0.00;0.84
58;0;581.00;18.82;249.00;0.00;0.76
59;0;1670.00;20.10;1239.00;0.00;0.76
60;0;2009.00;11.07;2492.00;0.00;0.80
61;0;2454.00;11.27;2719.00;0.00;1.04
