0;0;0;0;land;false;unknown;0
1;183;137;241;land;false;mountain;1
2;215;188;229;land;true;forest;1
3;189;103;227;land;false;mountain;1
4;190;195;195;land;false;plains;1
5;160;233;211;land;false;plains;1
6;163;171;200;land;false;hills;1
7;135;202;197;land;false;mountain;1
8;115;222;166;land;false;plains;1
9;240;176;144;land;false;mountain;1
10;135;187;248;land;false;plains;1
11;239;113;181;land;false;mountain;1
12;241;186;235;land;false;plains;1
13;249;252;28;land;false;plains;1
14;239;142;244;land;false;hills;1
15;96;233;208;land;false;hills;1
16;82;253;233;land;false;plains;1
17;188;244;102;land;false;hills;1
18;209;254;199;land;false;plains;1
19;231;236;192;land;false;hills;1
20;116;238;244;land;false;mountain;1
21;207;137;192;land;false;forest;1
22;201;141;213;land;false;mountain;1
23;204;182;251;land;false;plains;1
24;204;111;235;land;false;mountain;1
25;195;116;227;land;false;mountain;1
26;251;49;234;land;false;hills;1
27;158;231;151;land;false;forest;1
28;213;136;198;land;false;hills;1
29;23;231;250;land;false;hills;1
30;191;217;157;land;false;mountain;1
31;130;221;158;land;false;plains;1
32;244;55;222;land;false;hills;1
33;222;112;246;land;false;mountain;1
34;98;193;242;land;false;desert;1
35;198;141;242;land;false;mountain;1
36;252;138;195;land;false;plains;1
37;244;171;234;land;false;plains;1
38;202;163;145;land;false;mountain;1
39;143;126;241;land;false;hills;1
40;168;252;238;land;false;hills;1
41;224;176;204;land;false;plains;1
42;227;129;180;land;false;hills;1
43;235;154;218;land;false;hills;1
44;232;116;210;land;false;hills;1
45;204;219;254;land;false;plains;1
46;229;247;74;land;false;plains;1
47;252;175;168;land;true;forest;1
48;184;252;111;land;false;hills;1
49;179;234;209;land;false;forest;1
50;207;194;161;land;false;hills;1
51;100;242;200;land;false;desert;1
52;225;72;224;land;false;hills;1
53;205;235;148;land;false;plains;1
54;225;250;218;land;false;forest;1
55;227;135;181;land;false;marsh;1
56;81;221;226;land;false;mountain;1
57;213;106;232;land;false;desert;1
58;233;213;76;land;false;mountain;1
59;233;243;92;land;false;mountain;1
60;138;200;171;land;false;plains;1
61;166;219;217;land;false;plains;1
62;238;87;213;land;false;plains;1
63;195;234;117;land;false;plains;1
64;212;176;217;land;true;plains;1
65;184;109;240;land;false;plains;1
66;116;196;213;land;false;mountain;1
67;242;72;234;land;false;plains;1
68;187;223;237;land;true;plains;1
69;188;252;254;land;false;plains;1
70;166;204;235;land;false;mountain;1
71;119;249;153;land;false;marsh;1
72;228;252;124;land;false;plains;1
73;197;82;252;land;false;plains;1
74;232;124;168;land;false;hills;1
75;147;172;233;land;false;plains;1
76;223;245;235;land;false;mountain;1
77;130;249;142;land;false;forest;1
78;223;215;124;land;false;mountain;1
79;137;220;251;land;false;plains;1
80;239;81;209;land;false;plains;1
81;181;144;221;land;false;plains;1
82;243;123;219;land;false;desert;1
83;110;248;220;land;false;mountain;1
84;192;125;193;land;false;mountain;1
85;228;100;216;land;false;desert;1
86;205;193;247;land;false;mountain;1
87;175;163;168;land;false;forest;1
88;194;187;145;land;false;hills;1
89;139;237;136;land;false;mountain;1
90;74;210;244;land;false;hills;1
91;231;223;74;land;false;mountain;1
92;188;184;196;land;false;mountain;1
93;151;212;237;land;false;hills;1
94;204;184;150;land;false;mountain;1
95;230;170;190;land;false;hills;1
96;252;73;252;land;false;desert;1
97;247;82;220;land;false;hills;1
98;223;220;108;land;false;mountain;1
